xacc,yacc,zacc,xgyro,ygyro,zgyro
0.080078,-1.047852,0.112061,-10.595420,20.076336,-44.687023
0.088379,-1.067139,0.124268,-6.305344,21.587786,-45.374046
0.089111,-1.073730,0.127197,-1.618321,22.916031,-46.213741
0.088379,-1.058350,0.101807,2.000000,23.938931,-46.198475
0.082520,-1.040283,0.093262,4.656488,24.488550,-46.000000
0.092773,-1.015625,0.074951,6.778626,25.450382,-45.145039
0.083008,-1.005371,0.061279,7.053435,26.442749,-44.610687
0.077881,-0.995117,0.052002,6.396946,26.396946,-44.274811
0.062988,-0.975830,0.031494,4.396946,26.076336,-44.167938
0.072266,-0.962158,0.021973,1.648855,25.511450,-43.633587
0.057861,-0.977051,0.032471,-0.793893,24.793894,-43.328243
0.047607,-0.981445,0.032471,-2.687023,23.465649,-42.916031
0.034424,-0.989990,0.049805,-4.091603,21.679390,-42.167938
0.030029,-0.995850,0.048096,-5.267176,19.633587,-41.709923
0.034912,-0.984131,0.062012,-6.381680,17.572519,-41.175571
0.041748,-0.990723,0.076172,-7.419847,16.305344,-41.328243
0.049072,-1.025879,0.083496,-6.534351,15.389313,-41.496181
0.059082,-1.051025,0.094238,-4.656488,15.511451,-41.740459
0.081055,-1.061035,0.085938,-2.274809,16.091602,-42.274811
0.078369,-1.048096,0.089844,-0.152672,17.114504,-42.763359
0.084229,-1.046875,0.072510,2.061069,18.351145,-43.297710
0.076416,-1.035156,0.070557,3.832061,19.282442,-43.358780
0.079834,-1.018799,0.064453,4.717557,19.908398,-43.053436
0.077148,-1.009033,0.064697,4.885496,20.977098,-42.885498
0.076416,-1.009766,0.060791,4.656488,21.648855,-42.946564
0.072754,-0.991455,0.055176,3.755725,22.458015,-43.129772
0.075928,-0.988770,0.058594,2.335878,22.778625,-43.221375
0.080811,-0.978271,0.055176,0.274809,23.129770,-43.221375
0.064209,-0.966309,0.042969,-2.183206,23.160305,-43.022900
0.071045,-0.951172,0.050293,-5.496183,23.053434,-43.251907
0.058350,-0.941650,0.054443,-8.961832,23.099237,-43.618320
0.060547,-0.949463,0.061279,-12.748092,22.977098,-43.435116
0.055908,-0.945068,0.071533,-16.030535,22.534351,-43.297710
0.058350,-0.958496,0.064697,-18.106871,22.198473,-43.251907
0.054932,-0.997314,0.076416,-18.702290,21.664122,-43.419846
0.055664,-1.020752,0.080078,-17.862595,21.267176,-43.404579
0.062744,-1.035156,0.083252,-16.076336,20.946566,-43.816795
0.065186,-1.041992,0.085693,-14.015267,20.916031,-43.786259
0.055420,-1.035889,0.080811,-12.305344,20.305344,-43.801525
0.057373,-1.024658,0.079102,-11.572519,19.832062,-43.297710
0.062988,-1.005127,0.067627,-11.862596,19.358778,-42.946564
0.056885,-0.988037,0.071777,-13.221375,18.595419,-42.717556
0.047607,-0.962891,0.080811,-16.656488,17.816793,-42.320610
0.039795,-0.927002,0.094727,-22.595419,16.992367,-42.213741
0.041016,-0.880127,0.114990,-31.786259,16.320610,-41.740459
0.045410,-0.817871,0.131836,-45.541985,16.442749,-41.786259
0.090576,-0.683838,0.127197,-63.954197,18.793894,-38.290077
0.104980,-0.548828,0.131836,-88.320610,23.435114,-35.175571
0.130615,-0.341309,0.119141,-122.061066,28.396946,-30.717558
0.129150,0.035400,0.122559,-172.610687,33.801525,-23.358778
0.076172,0.394287,0.071289,-238.274811,36.977100,-16.000000
-0.003418,0.726074,-0.012451,-318.580139,37.145039,-7.419847
-0.029297,0.848877,-0.139404,-408.870239,35.190838,0.519084
-0.033691,0.805176,-0.350586,-500.274811,33.954197,5.694656
0.000000,0.637451,-0.676758,-500.274811,34.778625,10.259542
0.053955,0.434082,-0.974365,-500.274811,38.335876,13.022901
0.113770,0.237793,-1.237549,-500.274811,44.671757,15.404580
0.199219,0.144287,-1.506348,-500.274811,54.580154,23.480917
0.211914,0.414551,-1.586182,-500.274811,61.725189,33.206108
0.296631,0.695068,-1.683838,-500.274811,73.923668,29.343512
0.433838,1.329590,-1.716064,-500.274811,91.862595,35.526718
0.697266,1.525879,-2.128174,-500.274811,127.435112,36.152672
0.884766,1.603516,-2.586914,-500.274811,180.900757,40.748093
0.943848,1.312988,-2.967285,-500.274811,241.221375,41.633587
0.975098,0.978027,-3.390137,-500.274811,303.435120,32.641220
0.917480,0.477539,-3.792725,-500.274811,358.641235,20.641222
0.823975,-0.273438,-4.000000,-500.274811,414.610687,13.587787
0.467041,-1.342529,-4.000000,-500.274811,466.473297,10.229008
-0.020752,-2.209717,-3.656494,-500.274811,481.221375,-11.236641
-0.162598,-2.666260,-3.099365,-500.274811,470.351135,-91.022903
-0.230957,-3.195312,-2.701904,-500.274811,418.488556,-158.427475
-0.904053,-2.044189,-1.906982,-500.274811,353.129761,-213.206100
-1.144775,-1.464111,-1.463135,-500.274811,272.809174,-256.732819
-0.685547,-1.132812,-1.127441,-500.274811,203.145035,-287.038177
0.593750,-1.341064,-1.300293,-466.000000,199.954193,-284.870239
0.782959,-1.174072,-1.111084,-338.320618,207.297714,-260.503815
0.309814,-1.013916,-0.812012,-218.549622,179.648849,-234.717560
-0.024902,-0.529053,-0.738770,-128.702286,140.870224,-219.374039
-0.033936,0.214111,-0.854736,-89.175575,100.061066,-194.229004
-0.106445,0.555664,-1.003174,-80.809158,52.839695,-180.519089
-0.080078,0.766846,-1.118408,-87.435112,6.396946,-171.389313
0.000000,0.939941,-1.098389,-103.083969,-29.984734,-161.419846
0.253418,0.944092,-1.006836,-114.534348,-42.305344,-154.412216
0.480957,0.840576,-0.935059,-111.969467,-37.801525,-145.877869
0.538574,0.737305,-0.834229,-93.816795,-28.824427,-131.679382
0.552246,0.677734,-0.721680,-68.061066,-16.366413,-117.511452
0.511230,0.734619,-0.684326,-50.183205,-2.793893,-103.938934
0.420654,0.823730,-0.664551,-42.244274,7.282443,-88.122139
0.379395,0.884033,-0.636963,-41.206108,13.221375,-73.404579
0.363037,0.927979,-0.596191,-43.114502,16.809160,-60.351147
0.336426,0.948730,-0.563232,-45.541985,20.931297,-51.908398
0.299072,0.940430,-0.505127,-44.946564,23.847328,-47.404579
0.269775,0.953369,-0.585693,-45.893131,23.160305,-45.038166
0.149170,0.920898,-0.578369,-43.328243,20.549618,-45.022900
0.183105,0.790039,-0.518555,-31.389313,18.076336,-36.045803
0.216797,0.583984,-0.506836,-12.198473,14.595420,-25.053434
0.263428,0.576660,-0.499756,0.839695,15.740458,-27.740458
0.295410,0.652588,-0.525879,5.267176,20.610687,-25.816793
0.264893,0.711182,-0.552734,5.526718,23.465649,-22.793894
0.234863,0.702881,-0.550049,6.763359,24.290077,-20.763359
0.211426,0.670166,-0.542969,10.717557,23.587786,-18.061069
