xacc,yacc,zacc,xgyro,ygyro,zgyro
1.031494,0.177979,0.062012,2.717557,21.572519,-38.961834
1.036377,0.160156,0.080078,0.793893,22.564886,-39.908398
1.025391,0.152832,0.097656,-0.961832,23.160305,-40.793892
1.005859,0.132568,0.104980,-2.290076,22.351145,-41.893131
0.991943,0.112305,0.110840,-2.839695,20.625954,-43.297710
0.996582,0.098145,0.121826,-2.580153,18.534351,-44.519085
1.001953,0.100342,0.109863,-2.122137,16.946566,-45.328243
1.009033,0.095459,0.105713,-1.312977,16.290077,-46.152672
1.029297,0.111572,0.088867,-1.267176,15.801527,-46.641220
1.034912,0.133301,0.081299,-1.938931,16.519083,-46.610687
1.047119,0.139648,0.074219,-2.122137,17.664122,-46.824429
1.054688,0.145508,0.069092,-2.778626,18.580153,-46.732826
1.036377,0.136475,0.059570,-2.625954,19.145039,-46.305344
1.033447,0.136230,0.048096,-2.366412,19.648855,-45.725189
1.041260,0.133057,0.037842,-1.129771,19.969465,-44.274811
1.060059,0.122803,0.038574,0.625954,21.114504,-42.625954
1.055908,0.116455,0.036621,3.343511,22.488550,-41.129772
1.054199,0.117676,0.042725,5.404580,23.587786,-39.664124
1.041992,0.120605,0.041260,6.152672,24.305344,-39.129772
1.032959,0.136963,0.052734,5.816794,24.335878,-39.053436
1.016357,0.151123,0.066650,4.427481,23.603054,-39.786259
1.021484,0.153809,0.074707,1.984733,23.465649,-40.870228
1.020020,0.157715,0.076172,-0.580153,22.854961,-42.213741
1.005615,0.151855,0.093994,-2.854962,22.061069,-43.572517
1.001953,0.130371,0.102783,-4.274809,20.564886,-44.885498
1.000977,0.113037,0.117432,-4.396946,18.946566,-45.633587
1.001221,0.095703,0.111328,-3.435115,17.633587,-46.000000
1.014160,0.089111,0.115479,-2.198473,16.916031,-46.183205
1.025391,0.083008,0.113525,-0.183206,16.488550,-46.091602
1.025879,0.070557,0.108154,2.488550,16.320610,-46.305344
1.021729,0.078857,0.114258,4.625954,16.015266,-46.198475
1.007812,0.087158,0.103027,6.274809,15.374045,-45.786259
1.005859,0.105469,0.089600,7.633588,14.778625,-44.839695
1.011230,0.135986,0.053223,7.343512,14.396947,-44.549618
1.032471,0.166748,0.029785,6.488550,15.145039,-43.862595
1.047852,0.180908,0.021973,5.282443,16.839695,-42.259541
1.052490,0.173340,0.028076,4.702290,19.312977,-41.282444
1.060059,0.174561,0.027100,3.343511,21.053434,-40.335876
1.037598,0.168945,0.027832,2.229008,22.427481,-39.618320
1.031250,0.156738,0.028809,1.083969,22.748091,-39.374046
1.022461,0.146973,0.044434,1.068702,22.916031,-39.068703
1.029785,0.142822,0.058350,0.870229,22.854961,-39.267174
1.032471,0.135010,0.065430,0.320611,22.809160,-39.297710
1.037109,0.128906,0.071045,-0.091603,23.175573,-39.786259
1.031494,0.125977,0.074707,-0.824427,23.038168,-41.068703
1.025146,0.117920,0.085693,-1.374046,22.473282,-42.335876
1.020020,0.105713,0.099121,-1.816794,21.099237,-43.389313
1.011963,0.104736,0.098389,-1.954198,20.305344,-44.641220
1.021240,0.099121,0.107666,-1.832061,19.068703,-45.832062
1.026611,0.104004,0.086914,-2.412214,18.396946,-47.190838
1.024658,0.115479,0.087646,-3.190840,17.938931,-48.229008
1.031494,0.124756,0.069580,-3.419847,17.557251,-48.274811
1.022217,0.131592,0.089111,-3.343511,17.129770,-48.167938
1.019287,0.139648,0.068848,-2.961832,16.977098,-47.893131
1.022949,0.150879,0.054932,-3.190840,17.175573,-46.931297
1.029053,0.157959,0.044678,-3.511450,17.984734,-46.290077
1.041260,0.168701,0.034912,-4.076336,18.992367,-45.236641
1.045410,0.181641,0.035156,-4.290076,20.259542,-44.366413
1.038330,0.187988,0.036133,-4.458015,21.664122,-43.175571
1.042725,0.179688,0.031982,-4.977099,22.824427,-42.244274
1.047607,0.173584,0.049072,-5.343512,24.045801,-41.419846
1.034424,0.155029,0.054443,-5.358778,24.839695,-41.038166
1.020996,0.135254,0.057617,-4.732824,24.458015,-40.625954
1.016846,0.127441,0.073975,-3.801527,24.091602,-40.335876
1.011719,0.112549,0.084717,-3.221374,23.007633,-40.564884
1.014893,0.117188,0.094482,-3.206107,22.152672,-41.404579
1.012939,0.112793,0.100098,-3.389313,21.160305,-42.366413
1.007812,0.113281,0.118164,-3.603053,19.847328,-43.312977
1.002930,0.112549,0.104492,-3.679389,18.442749,-44.152672
1.007324,0.110596,0.115723,-3.587786,17.374046,-44.732826
1.010986,0.129150,0.107910,-3.923664,16.671755,-45.541985
1.014893,0.135986,0.081299,-4.396946,16.503817,-46.045803
1.032471,0.161133,0.049072,-5.633588,16.549618,-46.213741
1.028076,0.185303,0.052246,-7.465649,17.450382,-45.389313
1.041260,0.191650,0.031006,-9.038168,18.809160,-44.381680
1.035645,0.180908,0.045166,-9.679389,20.183207,-43.572517
1.036377,0.169434,0.039551,-9.969465,21.083969,-42.183205
1.030518,0.147461,0.054688,-10.137404,21.374046,-41.541985
1.015869,0.138916,0.063232,-10.061069,21.358778,-41.251907
1.001709,0.131348,0.088379,-9.908397,20.458015,-41.312977
0.996582,0.112793,0.092041,-9.480916,19.312977,-41.587788
0.990479,0.102783,0.105225,-8.580153,17.816793,-41.740459
