xacc,yacc,zacc,xgyro,ygyro,zgyro
1.019287,-0.012695,-0.013428,4.167939,18.534351,-41.297710
1.036377,-0.022461,-0.019775,4.503817,18.702290,-41.267174
1.031738,-0.010254,-0.020752,4.076336,19.221375,-42.106869
1.037598,-0.002197,-0.008301,3.145038,19.725191,-43.190838
1.043945,0.002686,-0.008545,1.633588,20.137405,-43.954197
1.037842,-0.002197,0.006836,0.702290,20.122137,-44.687023
1.042480,-0.001953,-0.005371,-0.396947,20.396946,-44.992367
1.052002,-0.000488,0.005615,-0.656489,21.099237,-45.190838
1.043213,-0.006592,0.003906,-0.793893,21.618320,-45.847328
1.044189,-0.011719,-0.000977,-0.824427,22.274809,-46.244274
1.042969,-0.009766,-0.006348,-1.480916,22.519083,-47.053436
1.037354,-0.004150,-0.001709,-2.076336,23.083969,-47.419846
1.039795,-0.007812,0.003418,-2.290076,23.755726,-47.435116
1.032959,-0.010254,0.002441,-2.000000,24.946566,-47.877861
1.029053,-0.002686,0.014160,-1.908397,25.587786,-47.984734
1.019287,-0.008057,0.021484,-1.740458,25.725191,-47.832062
1.004395,0.001465,0.011963,-1.679389,25.511450,-47.328243
1.027100,0.007080,0.010254,-1.694656,25.893129,-47.160305
1.027344,-0.012695,0.019775,-1.053435,26.549618,-47.160305
1.016357,-0.031738,0.011475,0.106870,26.854961,-47.557251
1.016357,-0.031494,0.005371,0.595420,27.114504,-48.595421
1.015381,-0.015869,0.020752,1.007634,27.480917,-48.702290
1.010254,0.004883,0.020020,0.641221,26.366413,-48.488548
1.000977,0.012939,0.030518,0.351145,25.160305,-47.282444
1.008301,0.008789,0.021729,0.259542,24.473282,-46.274811
1.014160,0.000000,0.019043,-0.351145,23.603054,-46.015266
1.019287,-0.009033,0.014893,-0.870229,22.503817,-45.954197
1.014160,-0.019531,0.013428,-0.854962,21.251909,-46.106869
1.010986,-0.024902,0.018799,-0.351145,20.122137,-45.786259
1.012451,-0.023193,0.008301,-0.106870,19.038168,-45.206108
1.025391,-0.013916,0.004395,0.122137,18.687023,-44.458015
1.023438,-0.024414,-0.006836,0.564885,18.152672,-44.091602
1.027832,-0.019043,-0.018555,0.900763,18.595419,-44.076336
1.039062,-0.017334,-0.010498,1.328244,19.251909,-43.832062
1.039551,-0.010010,-0.019531,1.343511,19.496183,-43.801525
1.031006,-0.001709,-0.023193,1.725191,19.954199,-43.374046
1.035156,0.005371,-0.025391,1.877863,20.030535,-42.824429
1.044189,0.005127,-0.019531,2.290076,21.038168,-42.427483
1.048096,-0.000488,-0.022217,2.290076,21.832062,-42.503819
1.048828,0.006592,-0.009033,2.473282,22.717558,-42.916031
1.042236,0.010742,-0.010010,2.396947,23.419847,-42.625954
1.038086,0.009521,-0.005615,2.290076,23.664122,-42.732826
1.044189,0.012939,-0.006348,2.137405,24.213741,-42.671757
1.041504,0.021973,0.001465,1.526718,24.748091,-43.038166
1.037842,0.024414,0.012207,0.625954,24.824427,-43.099236
1.032471,0.024414,0.003418,-0.519084,24.854961,-43.083969
1.035156,0.004639,0.019287,-0.671756,24.854961,-42.992367
1.023926,0.000732,0.019531,-0.885496,24.305344,-43.129772
1.020508,-0.007568,0.030762,-1.343511,23.755726,-42.854961
1.024170,-0.036865,0.019775,0.351145,23.160305,-43.725189
1.021729,-0.009277,0.017334,1.068702,23.160305,-44.030533
1.023682,0.008789,0.036621,0.274809,23.374046,-42.763359
1.002930,0.003906,0.045898,-0.580153,21.770992,-41.511452
0.979980,-0.021240,0.031006,-0.763359,19.480917,-41.282444
1.001953,-0.041748,0.029297,0.290076,18.167938,-42.000000
1.027100,-0.042480,0.019775,1.679389,18.625954,-42.259541
1.028320,-0.041504,0.021973,3.160305,19.007633,-42.244274
1.026367,-0.026855,0.029053,4.152672,18.763359,-41.557251
1.029785,-0.035645,0.016113,5.022901,18.854961,-41.404579
1.027832,-0.039307,0.007080,6.076336,19.374046,-41.770992
1.032471,-0.026611,0.005859,6.992366,19.816793,-42.290077
1.036865,-0.019531,0.002686,7.312977,20.534351,-42.167938
1.025879,-0.010986,-0.001953,7.862596,20.854961,-41.816795
1.022217,-0.012695,0.008057,8.244275,21.206106,-41.251907
1.031738,-0.010986,-0.003418,8.839695,20.961832,-41.083969
1.026123,-0.013916,0.010010,9.343512,21.404581,-40.488548
1.029297,0.000000,0.011475,8.793893,21.770992,-41.129772
1.020020,0.008545,0.007568,7.801527,21.633587,-41.511452
1.024902,-0.001465,0.014404,6.824428,21.129770,-42.015266
1.025391,0.003662,0.012695,6.000000,20.809160,-42.366413
1.025391,-0.006592,0.010742,4.977099,20.137405,-42.320610
1.030029,-0.011475,0.015381,4.183206,19.801527,-42.763359
1.027832,-0.002686,0.010986,2.748092,18.885496,-43.801525
1.026855,0.019775,0.023926,-1.022901,18.015266,-45.664124
1.028809,0.054688,0.019775,-6.030534,17.129770,-46.839695
1.052002,0.090332,0.008789,-12.396947,16.778625,-48.167938
1.059570,0.100098,-0.007080,-19.038168,16.458015,-49.083969
1.074219,0.112305,-0.000732,-26.290077,16.152672,-49.694656
1.066895,0.140137,-0.004150,-34.519085,15.816793,-51.083969
1.046143,0.173340,-0.008789,-45.633587,15.664123,-52.778625
1.067627,0.203613,-0.009766,-59.526718,15.572519,-55.541985
1.058105,0.260742,0.009033,-75.435112,14.702291,-58.274811
1.051514,0.328125,0.031250,-95.587784,12.854961,-63.297710
1.064209,0.406982,0.065918,-124.045799,9.847328,-76.549622
1.168213,0.610107,0.097168,-169.129776,6.473282,-104.793892
1.318848,0.749268,0.122559,-225.251907,4.427481,-136.244278
1.335938,0.873291,0.122070,-293.068695,-0.366412,-165.786255
1.198730,1.054199,0.127197,-369.221375,-12.961832,-189.526718
1.072266,1.163086,0.083740,-442.519073,-31.297710,-192.366409
0.824463,1.198730,0.045654,-500.274811,-58.625954,-167.145035
0.662598,1.116943,0.034424,-500.274811,-89.206108,-120.656487
0.600830,0.991455,0.048828,-500.274811,-112.198471,-68.335876
0.641602,0.822266,-0.160156,-500.274811,-128.000000,-23.343512
0.957764,0.938232,-0.393799,-500.274811,-123.938934,-8.045801
1.310303,1.158447,-0.698242,-500.274811,-101.053436,12.702291
1.231934,1.250732,-0.805908,-500.274811,-71.328247,40.885498
1.102051,1.198242,-0.825684,-500.274811,-50.778625,49.099236
1.130615,1.152100,-0.894287,-500.274811,-29.480917,52.717556
1.167725,1.170410,-0.964111,-500.274811,-3.053435,66.641220
1.116943,1.104248,-0.992920,-500.274811,20.977098,78.458015
1.046875,1.143066,-1.076172,-500.274811,42.167938,91.297707
0.962891,1.037109,-1.271729,-500.274811,58.091602,110.916031
