xacc,yacc,zacc,xgyro,ygyro,zgyro
0.025635,1.001709,0.058594,-0.259542,16.961832,-42.595421
0.030029,1.021729,0.061523,-1.694656,17.664122,-42.824429
0.037109,1.026367,0.056641,-3.633588,18.274809,-43.022900
0.050293,1.004883,0.042236,-5.343512,19.221375,-43.984734
0.054688,0.992188,0.050537,-5.847328,20.305344,-44.122139
0.037598,0.969482,0.048096,-5.541985,20.931297,-43.297710
0.016846,0.996094,0.055420,-5.175572,20.671755,-43.725189
0.009766,0.991455,0.070068,-4.824428,19.786259,-43.725189
0.019043,0.977783,0.070068,-4.656488,18.931297,-44.183205
0.022217,0.960449,0.073730,-3.190840,18.778625,-44.488548
0.038330,0.949463,0.077881,-2.320611,18.595419,-44.259541
0.031738,0.957764,0.064453,-1.877863,18.763359,-44.900764
0.034912,0.960938,0.055664,-1.709924,18.931297,-44.839695
0.044922,0.961914,0.060547,-0.839695,19.404581,-44.809162
0.034912,0.963379,0.059814,-0.091603,20.244274,-44.564884
0.030273,0.974854,0.052002,0.305344,20.473282,-44.656490
0.016602,0.987549,0.059326,0.198473,20.396946,-44.839695
0.021240,0.991211,0.056152,-0.366412,20.244274,-45.175571
0.033203,0.997070,0.053223,-0.122137,20.625954,-45.618320
0.044678,1.003174,0.050537,-0.045802,21.160305,-45.343510
0.031494,1.006104,0.052490,-0.595420,20.961832,-44.763359
0.029541,0.993652,0.052246,-1.251908,20.763359,-44.335876
0.034912,0.973633,0.059814,-1.145038,20.229008,-43.358780
0.023438,0.965576,0.063965,-0.717557,20.061069,-42.793892
0.020508,0.970703,0.050049,-0.580153,19.282442,-42.534351
0.028320,0.977783,0.056641,-0.396947,19.190840,-41.938931
0.037842,0.984863,0.056152,-0.442748,18.946566,-41.267174
0.037109,0.991943,0.050049,-0.320611,19.206106,-40.992367
0.041016,1.002441,0.044922,-1.038168,18.931297,-40.885498
0.034912,0.994385,0.052002,-1.480916,18.839695,-40.931297
0.025635,0.983154,0.052979,-1.190840,18.687023,-41.145039
0.026855,0.978516,0.056885,-0.687023,18.793894,-41.022900
0.027832,0.983887,0.048584,-0.381679,18.900763,-41.496181
0.031982,0.985107,0.056885,-0.427481,19.664122,-41.832062
0.039307,0.990479,0.047363,-0.564885,20.473282,-42.488548
0.041748,0.992920,0.056885,-0.854962,20.885496,-43.038166
0.027832,1.008057,0.071045,-1.679389,21.618320,-43.908398
0.038574,1.002441,0.060547,-2.244275,21.969465,-44.030533
0.048584,0.995605,0.052734,-2.687023,22.641222,-44.732826
0.048096,0.988037,0.057373,-2.229008,23.206106,-45.007633
0.040039,0.988770,0.052002,-1.954198,23.480917,-44.824429
0.041260,0.993652,0.041748,-2.106870,23.725191,-44.931297
0.041504,0.997803,0.037109,-2.534351,23.770992,-45.190838
0.038086,1.000488,0.053223,-2.763359,23.816793,-44.977100
0.027344,0.996338,0.055176,-2.763359,23.343512,-44.229008
0.017334,0.995605,0.061523,-2.503817,22.564886,-44.106869
0.022949,0.991455,0.056641,-2.076336,21.648855,-43.862595
0.020020,0.990234,0.067139,-1.755725,21.450382,-43.557251
0.028809,0.983887,0.052490,-1.496183,21.053434,-43.404579
0.033447,0.988525,0.055420,-1.755725,20.610687,-43.419846
0.030518,0.991211,0.058350,-1.862595,20.763359,-43.374046
0.030518,0.979736,0.050537,-1.572519,20.549618,-43.755726
0.028564,0.987793,0.057617,-1.099237,20.396946,-43.877861
0.032715,0.996338,0.057617,-1.099237,20.412214,-44.152672
0.028076,1.000732,0.055176,-1.190840,20.183207,-44.000000
0.027588,1.004150,0.058105,-1.404580,20.412214,-43.603054
0.029053,0.993896,0.062012,-1.526718,20.793894,-43.328243
0.036621,0.989258,0.055176,-1.465649,20.641222,-43.206108
0.041992,0.986816,0.055908,-1.832061,21.236641,-43.328243
0.041260,0.983154,0.059570,-2.183206,21.557251,-43.587788
0.033691,0.981689,0.047363,-2.580153,21.969465,-44.091602
0.047119,0.964844,0.055908,-2.946565,22.412214,-44.763359
0.041504,0.956299,0.042725,-2.152672,22.900763,-45.099236
